pokemon_id,pokemon_name,base_attack,base_defense,base_stamina,type,rarity,charged_moves,fast_moves,candy_required,distance,max_cp,attack_probability,base_capture_rate,base_flee_rate,dodge_probability,max_pokemon_action_frequency,min_pokemon_action_frequency,found_egg,found_evolution,found_wild,found_research,found_raid,found_photobomb
1,Bulbasaur,118,111,128,"['Grass', 'Poison']",Standard,"['Sludge Bomb', 'Seed Bomb', 'Power Whip']","['Vine Whip', 'Tackle']",0.0,3,1275,0.1,-1.0,-1.0,0.15,1.6,0.2,True,False,True,True,True,True
2,Ivysaur,151,143,155,"['Grass', 'Poison']",Standard,"['Sludge Bomb', 'Solar Beam', 'Power Whip']","['Razor Leaf', 'Vine Whip']",25.0,3,1943,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
3,Venusaur,198,189,190,"['Grass', 'Poison']",Standard,"['Sludge Bomb', 'Petal Blizzard', 'Solar Beam']","['Razor Leaf', 'Vine Whip']",100.0,3,3112,0.2,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
4,Charmander,116,93,118,['Fire'],Standard,"['Flame Charge', 'Flame Burst', 'Flamethrower']","['Ember', 'Scratch']",0.0,3,1121,0.1,-1.0,-1.0,0.15,1.6,0.2,True,False,True,True,True,True
5,Charmeleon,158,126,151,['Fire'],Standard,"['Fire Punch', 'Flame Burst', 'Flamethrower']","['Ember', 'Fire Fang']",25.0,3,1891,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
6,Charizard,223,173,186,"['Fire', 'Flying']",Standard,"['Fire Blast', 'Dragon Claw', 'Overheat']","['Fire Spin', 'Air Slash']",100.0,3,3305,0.2,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
7,Squirtle,94,121,127,['Water'],Standard,"['Aqua Jet', 'Aqua Tail', 'Water Pulse']","['Bubble', 'Tackle']",0.0,3,1082,0.1,-1.0,-1.0,0.15,1.6,0.2,True,False,True,True,True,True
8,Wartortle,126,155,153,['Water'],Standard,"['Aqua Jet', 'Ice Beam', 'Hydro Pump']","['Water Gun', 'Bite']",25.0,3,1702,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
9,Blastoise,171,207,188,['Water'],Standard,"['Flash Cannon', 'Ice Beam', 'Hydro Pump', 'Skull Bash']","['Water Gun', 'Bite']",100.0,3,2821,0.2,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
10,Caterpie,55,55,128,['Bug'],Standard,['Struggle'],"['Bug Bite', 'Tackle']",0.0,1,500,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
11,Metapod,45,80,137,['Bug'],Standard,['Struggle'],"['Bug Bite', 'Tackle']",12.0,1,515,0.1,-1.0,-1.0,0.0,1.6,0.2,False,True,True,True,True,True
12,Butterfree,167,137,155,"['Bug', 'Flying']",Standard,"['Bug Buzz', 'Psychic', 'Signal Beam']","['Struggle Bug', 'Confusion']",50.0,1,2090,0.1,-1.0,-1.0,0.2,1.6,0.2,False,True,True,True,True,True
13,Weedle,63,50,120,"['Bug', 'Poison']",Standard,['Struggle'],"['Bug Bite', 'Poison Sting']",0.0,1,522,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
14,Kakuna,46,75,128,"['Bug', 'Poison']",Standard,['Struggle'],"['Bug Bite', 'Poison Sting']",12.0,1,494,0.2,-1.0,-1.0,0.0,1.6,0.2,False,True,True,True,False,True
15,Beedrill,169,130,163,"['Bug', 'Poison']",Standard,"['Sludge Bomb', 'Aerial Ace', 'X Scissor', 'Fell Stinger']","['Infestation', 'Poison Jab']",50.0,1,2112,0.4,-1.0,-1.0,0.2,1.6,0.2,False,True,True,True,True,True
16,Pidgey,85,73,120,"['Normal', 'Flying']",Standard,"['Twister', 'Aerial Ace', 'Air Cutter']","['Quick Attack', 'Tackle']",0.0,1,778,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
17,Pidgeotto,117,105,160,"['Normal', 'Flying']",Standard,"['Twister', 'Aerial Ace', 'Air Cutter']","['Wing Attack', 'Steel Wing']",12.0,1,1366,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,False,True
18,Pidgeot,166,154,195,"['Normal', 'Flying']",Standard,"['Hurricane', 'Aerial Ace', 'Brave Bird', 'Feather Dance']","['Air Slash', 'Steel Wing']",50.0,1,2436,0.2,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
